Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,150,2,Some Random Commen with Id 0
1,0,1,160,8,Some Random Commen with Id 1
2,0,1,24,1,Some Random Commen with Id 2
3,1,0,76,1,Some Random Commen with Id 3
4,2,3,169,0,Some Random Commen with Id 4
5,2,3,148,7,Some Random Commen with Id 5
6,2,3,167,3,Some Random Commen with Id 6
7,2,3,168,0,Some Random Commen with Id 7
8,3,4,187,1,Some Random Commen with Id 8
9,3,4,99,4,Some Random Commen with Id 9
10,3,4,9,3,Some Random Commen with Id 10
11,3,4,189,8,Some Random Commen with Id 11
12,3,4,144,6,Some Random Commen with Id 12
13,3,4,14,0,Some Random Commen with Id 13
14,3,4,106,5,Some Random Commen with Id 14
15,3,4,173,7,Some Random Commen with Id 15
16,4,9,40,8,Some Random Commen with Id 16
17,4,9,27,5,Some Random Commen with Id 17
18,4,9,118,0,Some Random Commen with Id 18
19,4,9,46,8,Some Random Commen with Id 19
20,4,9,170,2,Some Random Commen with Id 20
21,4,9,108,6,Some Random Commen with Id 21
22,5,6,191,0,Some Random Commen with Id 22
23,5,6,154,8,Some Random Commen with Id 23
24,5,6,128,7,Some Random Commen with Id 24
25,5,6,84,9,Some Random Commen with Id 25
26,5,6,40,2,Some Random Commen with Id 26
27,5,6,149,8,Some Random Commen with Id 27
28,5,6,42,1,Some Random Commen with Id 28
29,5,6,29,4,Some Random Commen with Id 29
30,6,4,36,5,Some Random Commen with Id 30
31,6,4,73,2,Some Random Commen with Id 31
32,6,4,16,2,Some Random Commen with Id 32
33,6,4,93,4,Some Random Commen with Id 33
34,6,4,119,6,Some Random Commen with Id 34
35,6,4,135,0,Some Random Commen with Id 35
36,6,4,16,8,Some Random Commen with Id 36
37,8,2,94,4,Some Random Commen with Id 37
38,8,2,194,5,Some Random Commen with Id 38
39,9,6,80,5,Some Random Commen with Id 39
40,9,6,65,8,Some Random Commen with Id 40
41,9,6,142,3,Some Random Commen with Id 41
42,9,6,111,2,Some Random Commen with Id 42
43,9,6,116,7,Some Random Commen with Id 43
44,9,6,145,9,Some Random Commen with Id 44
45,9,6,51,5,Some Random Commen with Id 45
46,10,2,161,8,Some Random Commen with Id 46
47,10,2,133,1,Some Random Commen with Id 47
48,10,2,70,0,Some Random Commen with Id 48
49,10,2,134,1,Some Random Commen with Id 49
50,11,2,88,2,Some Random Commen with Id 50
51,13,6,146,3,Some Random Commen with Id 51
52,13,6,22,7,Some Random Commen with Id 52
53,13,6,130,6,Some Random Commen with Id 53
54,13,6,51,0,Some Random Commen with Id 54
55,14,8,118,3,Some Random Commen with Id 55
56,14,8,67,7,Some Random Commen with Id 56
57,14,8,29,8,Some Random Commen with Id 57
58,14,8,84,1,Some Random Commen with Id 58
59,15,9,66,1,Some Random Commen with Id 59
60,15,9,3,1,Some Random Commen with Id 60
61,15,9,142,8,Some Random Commen with Id 61
62,15,9,41,8,Some Random Commen with Id 62
63,15,9,107,0,Some Random Commen with Id 63
64,15,9,135,2,Some Random Commen with Id 64
65,15,9,15,7,Some Random Commen with Id 65
66,16,1,22,3,Some Random Commen with Id 66
67,16,1,137,8,Some Random Commen with Id 67
68,16,1,185,3,Some Random Commen with Id 68
69,16,1,69,4,Some Random Commen with Id 69
70,16,1,132,7,Some Random Commen with Id 70
71,16,1,71,2,Some Random Commen with Id 71
72,17,7,79,0,Some Random Commen with Id 72
73,17,7,87,6,Some Random Commen with Id 73
74,17,7,170,5,Some Random Commen with Id 74
75,19,0,61,3,Some Random Commen with Id 75
76,19,0,39,6,Some Random Commen with Id 76
77,20,0,148,7,Some Random Commen with Id 77
78,20,0,30,6,Some Random Commen with Id 78
79,20,0,131,5,Some Random Commen with Id 79
80,20,0,158,1,Some Random Commen with Id 80
81,20,0,145,1,Some Random Commen with Id 81
82,20,0,193,5,Some Random Commen with Id 82
83,20,0,94,0,Some Random Commen with Id 83
84,20,0,134,1,Some Random Commen with Id 84
85,21,3,2,4,Some Random Commen with Id 85
86,21,3,161,5,Some Random Commen with Id 86
87,21,3,153,3,Some Random Commen with Id 87
88,21,3,146,0,Some Random Commen with Id 88
89,21,3,47,2,Some Random Commen with Id 89
90,21,3,127,3,Some Random Commen with Id 90
91,21,3,140,3,Some Random Commen with Id 91
92,21,3,174,0,Some Random Commen with Id 92
93,22,3,167,4,Some Random Commen with Id 93
94,23,1,166,0,Some Random Commen with Id 94
95,23,1,23,3,Some Random Commen with Id 95
96,23,1,159,7,Some Random Commen with Id 96
97,23,1,69,4,Some Random Commen with Id 97
98,24,8,39,3,Some Random Commen with Id 98
99,24,8,162,2,Some Random Commen with Id 99
100,24,8,10,0,Some Random Commen with Id 100
101,24,8,10,4,Some Random Commen with Id 101
102,24,8,195,2,Some Random Commen with Id 102
103,24,8,171,7,Some Random Commen with Id 103
104,24,8,51,2,Some Random Commen with Id 104
105,24,8,180,1,Some Random Commen with Id 105
106,24,8,25,5,Some Random Commen with Id 106
107,25,5,81,9,Some Random Commen with Id 107
108,25,5,26,1,Some Random Commen with Id 108
109,25,5,178,9,Some Random Commen with Id 109
110,25,5,135,2,Some Random Commen with Id 110
111,25,5,70,7,Some Random Commen with Id 111
112,25,5,90,8,Some Random Commen with Id 112
113,25,5,114,1,Some Random Commen with Id 113
114,25,5,171,1,Some Random Commen with Id 114
115,25,5,37,1,Some Random Commen with Id 115
116,26,3,126,6,Some Random Commen with Id 116
117,26,3,159,7,Some Random Commen with Id 117
118,26,3,29,2,Some Random Commen with Id 118
119,26,3,131,7,Some Random Commen with Id 119
120,27,8,121,3,Some Random Commen with Id 120
121,27,8,103,1,Some Random Commen with Id 121
122,27,8,198,3,Some Random Commen with Id 122
123,27,8,174,3,Some Random Commen with Id 123
124,27,8,136,7,Some Random Commen with Id 124
125,27,8,195,0,Some Random Commen with Id 125
126,27,8,139,9,Some Random Commen with Id 126
127,29,0,23,5,Some Random Commen with Id 127
